,keyword,count,top_count,bottom_count,top_relative_frequency,bottom_relative_frequency
237,strong woman,8,3.0,1.0,0.375,0.125
238,wolf,8,3.0,1.0,0.375,0.125
239,wizard,8,8.0,0.0,1.0,0.0
240,bear,8,7.0,0.0,0.875,0.0
241,queen,8,5.0,0.0,0.625,0.0
242,high school student,8,1.0,0.0,0.125,0.0
243,undercover,8,0.0,2.0,0.0,0.25
244,ensemble cast,8,5.0,0.0,0.625,0.0
245,battle,8,7.0,0.0,0.875,0.0
246,mental illness,8,5.0,1.0,0.625,0.125
247,restaurant,8,1.0,2.0,0.125,0.25
248,mercenary,8,4.0,3.0,0.5,0.375
249,mother,8,1.0,2.0,0.125,0.25
250,stop motion,8,0.0,2.0,0.0,0.25
251,boat,8,2.0,1.0,0.25,0.125
252,organized crime,8,3.0,2.0,0.375,0.25
253,undercover cop,8,3.0,1.0,0.375,0.125
254,sniper,8,4.0,1.0,0.5,0.125
255,co-worker relationship,8,0.0,3.0,0.0,0.375
256,interrogation,8,2.0,3.0,0.25,0.375
257,storm,8,4.0,2.0,0.5,0.25
258,race against time,8,3.0,3.0,0.375,0.375
259,mumblecore,8,0.0,1.0,0.0,0.125
260,nurse,8,1.0,3.0,0.125,0.375
261,animal,8,4.0,1.0,0.5,0.125
262,immigrant,8,0.0,5.0,0.0,0.625
263,killer,8,2.0,1.0,0.25,0.125
264,bomb,8,4.0,2.0,0.5,0.25
265,singer,8,4.0,2.0,0.5,0.25
266,australia,8,2.0,3.0,0.25,0.375
267,jungle,8,6.0,1.0,0.75,0.125
268,1940s,8,2.0,3.0,0.25,0.375
269,reporter,8,2.0,5.0,0.25,0.625
270,coma,8,3.0,2.0,0.375,0.25
271,live action and animation,8,5.0,1.0,0.625,0.125
272,cover-up,8,1.0,1.0,0.125,0.125
273,winter,8,1.0,1.0,0.125,0.125
274,arrest,7,1.0,4.0,0.14285714285714285,0.5714285714285714
275,pilot,7,5.0,1.0,0.7142857142857143,0.14285714285714285
276,twins,7,1.0,1.0,0.14285714285714285,0.14285714285714285
277,male friendship,7,2.0,1.0,0.2857142857142857,0.14285714285714285
278,shark,7,5.0,2.0,0.7142857142857143,0.2857142857142857
279,dc extended universe,7,7.0,0.0,1.0,0.0
280,romantic comedy,7,1.0,1.0,0.14285714285714285,0.14285714285714285
281,las vegas,7,2.0,2.0,0.2857142857142857,0.2857142857142857
282,redemption,7,2.0,2.0,0.2857142857142857,0.2857142857142857
283,paranoia,7,2.0,3.0,0.2857142857142857,0.42857142857142855
284,transformation,7,3.0,1.0,0.42857142857142855,0.14285714285714285
285,france,7,1.0,3.0,0.14285714285714285,0.42857142857142855
286,dancing,7,3.0,1.0,0.42857142857142855,0.14285714285714285
287,bounty hunter,7,3.0,2.0,0.42857142857142855,0.2857142857142857
288,grief,7,1.0,2.0,0.14285714285714285,0.2857142857142857
289,superhero team,7,5.0,1.0,0.7142857142857143,0.14285714285714285
290,kids,7,5.0,2.0,0.7142857142857143,0.2857142857142857
291,isolation,7,2.0,0.0,0.2857142857142857,0.0
292,based on play or musical,7,1.0,1.0,0.14285714285714285,0.14285714285714285
293,mission,7,3.0,0.0,0.42857142857142855,0.0
294,disappearance,7,4.0,1.0,0.5714285714285714,0.14285714285714285
295,woods,7,1.0,1.0,0.14285714285714285,0.14285714285714285
296,underdog,7,2.0,2.0,0.2857142857142857,0.2857142857142857
297,agent,7,2.0,0.0,0.2857142857142857,0.0
298,trapped,7,3.0,1.0,0.42857142857142855,0.14285714285714285
299,priest,7,0.0,1.0,0.0,0.14285714285714285
300,american abroad,7,1.0,1.0,0.14285714285714285,0.14285714285714285
301,fugitive,7,2.0,3.0,0.2857142857142857,0.42857142857142855
302,slasher,7,0.0,1.0,0.0,0.14285714285714285
303,thanksgiving,7,0.0,1.0,0.0,0.14285714285714285
304,new jersey,7,2.0,2.0,0.2857142857142857,0.2857142857142857
305,car accident,7,2.0,3.0,0.2857142857142857,0.42857142857142855
306,seduction,7,1.0,1.0,0.14285714285714285,0.14285714285714285
307,1930s,7,3.0,2.0,0.42857142857142855,0.2857142857142857
308,1920s,7,4.0,2.0,0.5714285714285714,0.2857142857142857
309,american football,7,0.0,3.0,0.0,0.42857142857142855
310,gang,7,3.0,3.0,0.42857142857142855,0.42857142857142855
311,china,7,4.0,2.0,0.5714285714285714,0.2857142857142857
312,massachusetts,7,1.0,0.0,0.14285714285714285,0.0
313,female friendship,7,3.0,1.0,0.42857142857142855,0.14285714285714285
314,village,7,3.0,3.0,0.42857142857142855,0.42857142857142855
315,based on graphic novel,7,1.0,3.0,0.14285714285714285,0.42857142857142855
316,mountain,7,3.0,0.0,0.42857142857142855,0.0
317,21st century,7,1.0,1.0,0.14285714285714285,0.14285714285714285
318,kaiju,7,7.0,0.0,1.0,0.0
319,space station,7,5.0,0.0,0.7142857142857143,0.0
320,depression,7,2.0,3.0,0.2857142857142857,0.42857142857142855
321,baby,7,3.0,2.0,0.42857142857142855,0.2857142857142857
322,secret identity,7,3.0,1.0,0.42857142857142855,0.14285714285714285
